地名,センター,可燃ごみ,硬プラ・革製品類,容器包装プラスチック,紙・布類,びん類,金属類,ペットボトル,アルミ缶,廃食用油,埋立ごみ
伊賀(柘植),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140509 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140722 20140725 20140728 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140916 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141014 20141017 20141021 20141024 20141028 20141031 20141104 20141107 20141111 20141114 20141118 20141121 20141125 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150113 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140402 20140602 20140804 20141001 20141201 20150202,木,20140417 20140515 20140619 20140717 20140821 20140918 20141016 20141120 20141218 20150122 20150219 20150319,20140414 20140512 20140609 20140714 20140811 20140908 20141020 20141110 20141208 20150119 20150209 20150309,20140409 20140514 20140611 20140709 20140813 20140910 20141008 20141112 20141210 20150114 20150204 20150311,水3,20140423 20140528 20140625 20140723 20140827 20140929 20141022 20141126 20141222 20150128 20150225 20150325,2040616 20140901 20141215 20150316,20140526 20140728 20140922 20141117 20150126 20150323
伊賀(西柘植),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140509 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140722 20140725 20140728 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140916 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141014 20141017 20141021 20141024 20141028 20141031 20141104 20141107 20141111 20141114 20141118 20141121 20141125 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150113 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140407 20140604 20140806 20141006 20141203 20150216,木,20140417 20140515 20140619 20140717 20140821 20140918 20141016 20141120 20141218 20150122 20150219 20150319,20140414 20140512 20140609 20140714 20140811 20140908 20141020 20141110 20141208 20150119 20150209 20150309,20140409 20140514 20140611 20140709 20140813 20140910 20141008 20141112 20141210 20150114 20150204 20150311,水3,20140423 20140528 20140625 20140723 20140827 20140929 20141022 20141126 20141222 20150128 20150225 20150325,2040616 20140901 20141215 20150316,20140526 20140728 20140922 20141117 20150126 20150323
伊賀(壬生野),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140509 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140722 20140725 20140728 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140916 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141014 20141017 20141021 20141024 20141028 20141031 20141104 20141107 20141111 20141114 20141118 20141121 20141125 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150113 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140428 20140623 20140825 20141027 20141215 20150223,木,20140417 20140515 20140619 20140717 20140821 20140918 20141016 20141120 20141218 20150122 20150219 20150319,20140414 20140512 20140609 20140714 20140811 20140908 20141020 20141110 20141208 20150119 20150209 20150309,20140409 20140514 20140611 20140709 20140813 20140910 20141008 20141112 20141210 20150114 20150204 20150311,水3,20140423 20140528 20140625 20140723 20140827 20140929 20141022 20141126 20141222 20150128 20150225 20150325,2040616 20140901 20141215 20150316,20140526 20140728 20140922 20141117 20150126 20150323
阿山(丸柱),センター,20140403 20140407 20140410 20140414 20140417 20140421 20140424 20140428 20140501 20140508 20140512 20140515 20140519 20140522 20140526 20140529 20140602 20140605 20140609 20140612 20140616 20140619 20140623 20140626 20140630 20140703 20140707 20140710 20140714 20140717 20140722 20140724 20140728 20140731 20140804 20140807 20140811 20140814 20140818 20140821 20140825 20140828 20140901 20140904 20140908 20140911 20140916 20140918 20140922 20140925 20140929 20141002 20141006 20141009 20141014 20141016 20141020 20141023 20141027 20141030 20141104 20141106 20141110 20141113 20141117 20141120 20141125 20141127 20141201 20141204 20141208 20141211 20141215 20141218 20141222 20141225 20141229 20150105 20150108 20150113 20150115 20150119 20150122 20150126 20150129 20150202 20150205 20150209 20150212 20150216 20150219 20150223 20150226 20150302 20150305 20150309 20150312 20150316 20150319 20150323 20150326 20150330,20140401 20140603 20140805 20141001 20141202 20150203,金,20140425 20140523 20140627 20140718 20140822 20140926 20141024 20141128 20141226 20150123 20150227 20150327,20140408 20140513 20140610 20140708 20140812 20140909 20141021 20141111 20141209 20150120 20150210 20150310,20140409 20140514 20140611 20140709 20140813 20140910 20141008 20141112 20141210 20150114 20150204 20150311,水4,水3,20140603 20140930 20141202 20150317,20140527 20140729 20140930 20141118 20150127 20150324
阿山(玉滝),センター,20140403 20140407 20140410 20140414 20140417 20140421 20140424 20140428 20140501 20140508 20140512 20140515 20140519 20140522 20140526 20140529 20140602 20140605 20140609 20140612 20140616 20140619 20140623 20140626 20140630 20140703 20140707 20140710 20140714 20140717 20140722 20140724 20140728 20140731 20140804 20140807 20140811 20140814 20140818 20140821 20140825 20140828 20140901 20140904 20140908 20140911 20140916 20140918 20140922 20140925 20140929 20141002 20141006 20141009 20141014 20141016 20141020 20141023 20141027 20141030 20141104 20141106 20141110 20141113 20141117 20141120 20141125 20141127 20141201 20141204 20141208 20141211 20141215 20141218 20141222 20141225 20141229 20150105 20150108 20150113 20150115 20150119 20150122 20150126 20150129 20150202 20150205 20150209 20150212 20150216 20150219 20150223 20150226 20150302 20150305 20150309 20150312 20150316 20150319 20150323 20150326 20150330,20140402 20140604 20140806 20141007 20141202 20150203 ,金,20140425 20140523 20140627 20140718 20140822 20140926 20141024 20141128 20141226 20150123 20150227 20150327,20140408 20140513 20140610 20140708 20140812 20140909 20141021 20141111 20141209 20150120 20150210 20150310,20140409 20140514 20140611 20140709 20140813 20140910 20141008 20141112 20141210 20150114 20150204 20150311,水4,水3,20140603 20140930 20141202 20150317,20140527 20140729 20140930 20141118 20150127 20150324
阿山(鞆田),センター,20140403 20140407 20140410 20140414 20140417 20140421 20140424 20140428 20140501 20140508 20140512 20140515 20140519 20140522 20140526 20140529 20140602 20140605 20140609 20140612 20140616 20140619 20140623 20140626 20140630 20140703 20140707 20140710 20140714 20140717 20140722 20140724 20140728 20140731 20140804 20140807 20140811 20140814 20140818 20140821 20140825 20140828 20140901 20140904 20140908 20140911 20140916 20140918 20140922 20140925 20140929 20141002 20141006 20141009 20141014 20141016 20141020 20141023 20141027 20141030 20141104 20141106 20141110 20141113 20141117 20141120 20141125 20141127 20141201 20141204 20141208 20141211 20141215 20141218 20141222 20141225 20141229 20150105 20150108 20150113 20150115 20150119 20150122 20150126 20150129 20150202 20150205 20150209 20150212 20150216 20150219 20150223 20150226 20150302 20150305 20150309 20150312 20150316 20150319 20150323 20150326 20150330,20140415 20140617 20140819 20141028 20141203 20150217,金,20140425 20140523 20140627 20140718 20140822 20140926 20141024 20141128 20141226 20150123 20150227 20150327,20140408 20140513 20140610 20140708 20140812 20140909 20141021 20141111 20141209 20150120 20150210 20150310,20140409 20140514 20140611 20140709 20140813 20140910 20141008 20141112 20141210 20150114 20150204 20150311,水4,水3,20140603 20140930 20141202 20150317,20140527 20140729 20140930 20141118 20150127 20150324
阿山(河合),センター,20140403 20140407 20140410 20140414 20140417 20140421 20140424 20140428 20140501 20140508 20140512 20140515 20140519 20140522 20140526 20140529 20140602 20140605 20140609 20140612 20140616 20140619 20140623 20140626 20140630 20140703 20140707 20140710 20140714 20140717 20140722 20140724 20140728 20140731 20140804 20140807 20140811 20140814 20140818 20140821 20140825 20140828 20140901 20140904 20140908 20140911 20140916 20140918 20140922 20140925 20140929 20141002 20141006 20141009 20141014 20141016 20141020 20141023 20141027 20141030 20141104 20141106 20141110 20141113 20141117 20141120 20141125 20141127 20141201 20141204 20141208 20141211 20141215 20141218 20141222 20141225 20141229 20150105 20150108 20150113 20150115 20150119 20150122 20150126 20150129 20150202 20150205 20150209 20150212 20150216 20150219 20150223 20150226 20150302 20150305 20150309 20150312 20150316 20150319 20150323 20150326 20150330,20140422 20140624 20140826 20141029 20141216 20150224,金,20140425 20140523 20140627 20140718 20140822 20140926 20141024 20141128 20141226 20150123 20150227 20150327,20140408 20140513 20140610 20140708 20140812 20140909 20141021 20141111 20141209 20150120 20150210 20150310,20140409 20140514 20140611 20140709 20140813 20140910 20141008 20141112 20141210 20150114 20150204 20150311,水4,水3,20140603 20140930 20141202 20150317,20140527 20140729 20140930 20141118 20150127 20150324
島ケ原,センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140428 20140502 20140509 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140722 20140725 20140728 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140916 20140919 20140922 20140926 20140930 20141003 20141007 20141010 20141014 20141017 20141021 20141024 20141028 20141031 20141104 20141107 20141111 20141114 20141118 20141121 20141125 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141222 20141226 20141230 20150106 20150109 20150113 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140421 20140616 20140818 20141027 20141215 20150223,木,20140414 20140512 20140609 20140714 20140811 20140908 20141020 20141110 20141208 20150119 20150209 20150309,20140407 20140519 20140602 20140707 20140804 20140901 20141006 20141117 20141201 20150105 20150202 20150302,水4,水1,20140409 20140514 20140611 20140709 20140813 20140910 20141008 20141112 20141210 20150114 20150216 20150311,2040616 20140901 20141215 20150316,20140526 20140728 20140929 20141119 20150126 20150323
大山田,センター,20140404 20140407 20140411 20140414 20140418 20140421 20140425 20140428 20140502 20140509 20140512 20140516 20140519 20140523 20140526 20140530 20140602 20140606 20140609 20140613 20140616 20140620 20140623 20140627 20140630 20140704 20140707 20140711 20140714 20140718 20140722 20140725 20140728 20140801 20140804 20140808 20140811 20140815 20140818 20140822 20140825 20140829 20140901 20140905 20140908 20140912 20140916 20140919 20140922 20140926 20140929 20141003 20141006 20141010 20141014 20141017 20141020 20141024 20141027 20141031 20141104 20141107 20141110 20141114 20141117 20141121 20141125 20141128 20141201 20141205 20141208 20141212 20141215 20141219 20141222 20141226 20141229 20150105 20150109 20150113 20150116 20150119 20150123 20150126 20150130 20150202 20150206 20150209 20150213 20150216 20150220 20150223 20150227 20150302 20150306 20150309 20150313 20150316 20150320 20150323 20150327 20150330,水3:4 6 8 10 12 2,木,木2,20140422 20140527 20140624 20140729 20140826 20140930 20141028 20141118 20141224 20150127 20150224 20150324,20140415 20140520 20140617 20140715 20140819 20140917 20141021 20141119 20141216 20150120 20150217 20150317,20140401 20140513 20140603 20140701 20140805 20140902 20141007 20141111 20141202 20150106 20150203 20150303,水1,20140610 20140909 20141209 20150310,水4:5 7 9 11 1 3
